2019-04-18 00:53:29,995 - INFO - __main__ -   device: cpu n_gpu: 0, distributed training: False, 16-bits training: False
2019-04-18 01:22:29,714 - INFO - __main__ -   device: cpu n_gpu: 0, distributed training: False, 16-bits training: False
2019-04-18 01:56:40,279 - INFO - __main__ -   device: cpu n_gpu: 0, distributed training: False, 16-bits training: False
2019-04-18 02:05:18,346 - INFO - __main__ -   device: cpu n_gpu: 0, distributed training: False, 16-bits training: False
2019-04-18 02:06:11,290 - INFO - __main__ -   device: cpu n_gpu: 0, distributed training: False, 16-bits training: False
2019-04-18 02:46:15,099 - INFO - __main__ -   device: cuda n_gpu: 4, distributed training: False, 16-bits training: False
2019-04-18 02:47:21,242 - INFO - __main__ -   device: cuda n_gpu: 4, distributed training: False, 16-bits training: False
2019-04-18 02:54:33,369 - INFO - __main__ -   device: cuda n_gpu: 4, distributed training: False, 16-bits training: False
2019-04-18 02:55:06,831 - INFO - __main__ -   device: cuda n_gpu: 4, distributed training: False, 16-bits training: False
2019-04-18 02:55:14,470 - INFO - __main__ -   device: cuda n_gpu: 4, distributed training: False, 16-bits training: False
2019-04-18 02:58:48,546 - INFO - __main__ -   device: cuda n_gpu: 4, distributed training: False, 16-bits training: False
2019-04-18 03:02:17,328 - INFO - __main__ -   device: cuda n_gpu: 4, distributed training: False, 16-bits training: False
2019-04-18 03:04:15,739 - INFO - __main__ -   device: cuda n_gpu: 1, distributed training: False, 16-bits training: False
2019-04-18 03:05:11,160 - INFO - __main__ -   device: cuda n_gpu: 4, distributed training: False, 16-bits training: False
2019-04-18 03:05:52,466 - INFO - __main__ -   device: cuda n_gpu: 4, distributed training: False, 16-bits training: False
2019-04-18 03:06:24,540 - INFO - __main__ -   device: cuda n_gpu: 4, distributed training: False, 16-bits training: False
2019-04-18 03:07:18,005 - INFO - __main__ -   device: cuda n_gpu: 4, distributed training: False, 16-bits training: False
2019-04-18 03:13:53,917 - INFO - __main__ -   device: cuda n_gpu: 4, distributed training: False, 16-bits training: False
2019-04-18 03:16:35,522 - INFO - __main__ -   device: cuda n_gpu: 4, distributed training: False, 16-bits training: False
2019-04-18 03:19:08,388 - INFO - __main__ -   device: cuda n_gpu: 4, distributed training: False, 16-bits training: False
2019-04-18 03:22:51,073 - INFO - __main__ -   device: cuda n_gpu: 4, distributed training: False, 16-bits training: False
2019-04-18 03:26:51,814 - INFO - __main__ -   device: cuda n_gpu: 4, distributed training: False, 16-bits training: False
2019-04-18 03:28:05,657 - INFO - __main__ -   device: cuda n_gpu: 4, distributed training: False, 16-bits training: False
2019-04-18 03:33:50,285 - INFO - __main__ -   device: cuda n_gpu: 4, distributed training: False, 16-bits training: False
2019-04-18 03:37:31,814 - INFO - __main__ -   device: cuda n_gpu: 4, distributed training: False, 16-bits training: False
2019-04-18 03:37:59,364 - INFO - __main__ -   device: cuda n_gpu: 4, distributed training: False, 16-bits training: False
